,Isin,Component,Trading Location,Issuer Country,Ticker
0,FR0000120404,ACCOR,Euronext Paris,France,AC.PA
1,FR0000120073,AIR LIQUIDE,Euronext Paris,France,AI.PA
2,NL0000235190,AIRBUS,Euronext Paris,Netherlands,AIR.PA
3,LU1598757687,ARCELORMITTAL SA,Euronext Amsterdam,Luxembourg,MT.AS
4,FR0000120628,AXA,Euronext Paris,France,CS.PA
5,FR0000131104,BNP PARIBAS ACT.A,Euronext Paris,France,BNP.PA
6,FR0000120503,BOUYGUES,Euronext Paris,France,EN.PA
7,FR0000125338,CAPGEMINI,Euronext Paris,France,CAP.PA
8,FR0000120172,CARREFOUR,Euronext Paris,France,CA.PA
9,FR0000045072,CREDIT AGRICOLE,Euronext Paris,France,ACA.PA
10,FR0000120644,DANONE,Euronext Paris,France,BN.PA
11,FR0014003TT8,DASSAULT SYSTEMES,Euronext Paris,France,DSY.PA
12,FR0010908533,EDENRED,Euronext Paris,France,EDEN.PA
13,FR0010208488,ENGIE,Euronext Paris,France,ENGI.PA
14,FR0000121667,ESSILORLUXOTTICA,Euronext Paris,France,EL.PA
15,FR0014000MR3,EUROFINS SCIENT.,Euronext Paris,France,ERF.PA
16,FR0000052292,HERMES INTL,Euronext Paris,France,RMS.PA
17,FR0000121485,KERING,Euronext Paris,France,KER.PA
18,FR0000120321,L'OREAL,Euronext Paris,France,OR.PA
19,FR0010307819,LEGRAND,Euronext Paris,France,LR.PA
20,FR0000121014,LVMH,Euronext Paris,France,MC.PA
21,FR001400AJ45,MICHELIN,Euronext Paris,France,ML.PA
22,FR0000133308,ORANGE,Euronext Paris,France,ORA.PA
23,FR0000120693,PERNOD RICARD,Euronext Paris,France,RI.PA
24,FR0000130577,PUBLICIS GROUPE SA,Euronext Paris,France,PUB.PA
25,FR0000131906,RENAULT,Euronext Paris,France,RNO.PA
26,FR0000073272,SAFRAN,Euronext Paris,France,SAF.PA
27,FR0000125007,SAINT GOBAIN,Euronext Paris,France,SGO.PA
28,FR0000120578,SANOFI,Euronext Paris,France,SAN.PA
29,FR0000121972,SCHNEIDER ELECTRIC,Euronext Paris,France,SU.PA
30,FR0000130809,SOCIETE GENERALE,Euronext Paris,France,GLE.PA
31,NL00150001Q9,STELLANTIS NV,Euronext Paris,Netherlands,STLAP.PA
32,NL0000226223,STMICROELECTRONICS,Euronext Paris,Netherlands,STMPA.PA
33,FR0000051807,TELEPERFORMANCE,Euronext Paris,France,TEP.PA
34,FR0000121329,THALES,Euronext Paris,France,HO.PA
35,FR0000120271,TOTALENERGIES,Euronext Paris,France,TTE.PA
36,FR0013326246,UNIBAIL-RODAMCO-WE,Euronext Paris,France,URW.PA
37,FR0000124141,VEOLIA ENVIRON.,Euronext Paris,France,VIE.PA
38,FR0000125486,VINCI,Euronext Paris,France,DG.PA
39,FR0000127771,VIVENDI SE,Euronext Paris,France,VIV.PA
